Datetime,Water Level (m)
2023-04-15 06:00:00,-0.80585784
2023-04-15 07:00:00,-0.6885538
2023-04-15 08:00:00,-0.42158276
2023-04-15 09:00:00,0.0022782858
2023-04-15 10:00:00,0.42269915
2023-04-15 11:00:00,0.6897861
2023-04-15 12:00:00,0.7795983
2023-04-15 13:00:00,0.7286394
2023-04-15 14:00:00,0.44326556
2023-04-15 15:00:00,0.031333327
2023-04-15 16:00:00,-0.3913727
2023-04-15 17:00:00,-0.7263224
2023-04-15 18:00:00,-0.9596223
2023-04-15 19:00:00,-1.0399718
2023-04-15 20:00:00,-0.911516
2023-04-15 21:00:00,-0.50392646
2023-04-15 22:00:00,-0.1030779
2023-04-15 23:00:00,0.32676688
2023-04-16 00:00:00,0.59275347
2023-04-16 01:00:00,0.6327932
2023-04-16 02:00:00,0.5121251
2023-04-16 03:00:00,0.18968919
2023-04-16 04:00:00,-0.22646403
2023-04-16 05:00:00,-0.6210133
2023-04-16 06:00:00,-0.8794843
2023-04-16 07:00:00,-1.003285
2023-04-16 08:00:00,-0.92526585
2023-04-16 09:00:00,-0.5439069
2023-04-16 10:00:00,-0.07640779
2023-04-16 11:00:00,0.4468731
2023-04-16 12:00:00,0.82270086
2023-04-16 13:00:00,0.9835336
2023-04-16 14:00:00,0.90976185
2023-04-16 15:00:00,0.55857015
2023-04-16 16:00:00,0.06277806
2023-04-16 17:00:00,-0.47987697
2023-04-16 18:00:00,-0.87471354
2023-04-16 19:00:00,-1.2059559
2023-04-16 20:00:00,-1.3049237
2023-04-16 21:00:00,-1.132982
2023-04-16 22:00:00,-0.58550036
2023-04-16 23:00:00,-0.004232939
2023-04-17 00:00:00,0.53253514
2023-04-17 01:00:00,0.83340263
2023-04-17 02:00:00,0.89346397
2023-04-17 03:00:00,0.7350374
2023-04-17 04:00:00,0.29245797
2023-04-17 05:00:00,-0.2615788
2023-04-17 06:00:00,-0.73134595
2023-04-17 07:00:00,-1.0457044
2023-04-17 08:00:00,-1.1973858
2023-04-17 09:00:00,-1.0835719
2023-04-17 10:00:00,-0.5720585
2023-04-17 11:00:00,-0.0034004198
2023-04-17 12:00:00,0.59008604
2023-04-17 13:00:00,0.9678074
2023-04-17 14:00:00,1.0773655
2023-04-17 15:00:00,0.93117285
2023-04-17 16:00:00,0.4911335
2023-04-17 17:00:00,-0.10123032
2023-04-17 18:00:00,-0.713242
2023-04-17 19:00:00,-1.1516882
2023-04-17 20:00:00,-1.4592948
2023-04-17 21:00:00,-1.4832557
2023-04-17 22:00:00,-1.2294971
2023-04-17 23:00:00,-0.5224057
2023-04-18 00:00:00,0.20933332
2023-04-18 01:00:00,0.77593684
2023-04-18 02:00:00,1.0330776
2023-04-18 03:00:00,1.0441062
2023-04-18 04:00:00,0.7493276
2023-04-18 05:00:00,0.20466061
2023-04-18 06:00:00,-0.4187912
2023-04-18 07:00:00,-0.89165056
2023-04-18 08:00:00,-1.2671824
2023-04-18 09:00:00,-1.4133166
2023-04-18 10:00:00,-1.2692622
2023-04-18 11:00:00,-0.63441956
2023-04-18 12:00:00,0.06501872
2023-04-18 13:00:00,0.71139294
2023-04-18 14:00:00,1.0854367
2023-04-18 15:00:00,1.1476575
2023-04-18 16:00:00,0.922683
2023-04-18 17:00:00,0.37390023
2023-04-18 18:00:00,-0.33274394
2023-04-18 19:00:00,-0.908548
2023-04-18 20:00:00,-1.3808289
2023-04-18 21:00:00,-1.6212734
2023-04-18 22:00:00,-1.5589484
2023-04-18 23:00:00,-1.1803677
2023-04-19 00:00:00,-0.2684064
2023-04-19 01:00:00,0.50360674
2023-04-19 02:00:00,1.0559349
2023-04-19 03:00:00,1.2426558
2023-04-19 04:00:00,1.1682459
2023-04-19 05:00:00,0.75650966
2023-04-19 06:00:00,0.124464065
2023-04-19 07:00:00,-0.5626364
2023-04-19 08:00:00,-1.0515133
2023-04-19 09:00:00,-1.3851062
2023-04-19 10:00:00,-1.447273
2023-04-19 11:00:00,-1.2107166
2023-04-19 12:00:00,-0.4302087
2023-04-19 13:00:00,0.32216436
2023-04-19 14:00:00,0.932893
2023-04-19 15:00:00,1.212069
2023-04-19 16:00:00,1.1986656
2023-04-19 17:00:00,0.8166375
2023-04-19 18:00:00,0.14407332
2023-04-19 19:00:00,-0.6095648
2023-04-19 20:00:00,-1.1237711
2023-04-19 21:00:00,-1.528839
2023-04-19 22:00:00,-1.6649647
2023-04-19 23:00:00,-1.5116924
2023-04-20 00:00:00,-0.92500657
2023-04-20 01:00:00,0.12288067
2023-04-20 02:00:00,0.8227975
2023-04-20 03:00:00,1.2894301
2023-04-20 04:00:00,1.3742285
2023-04-20 05:00:00,1.1501698
2023-04-20 06:00:00,0.579885
2023-04-20 07:00:00,-0.13418594
2023-04-20 08:00:00,-0.7848455
2023-04-20 09:00:00,-1.2261478
2023-04-20 10:00:00,-1.4396963
2023-04-20 11:00:00,-1.3800553
2023-04-20 12:00:00,-1.0240569
2023-04-20 13:00:00,-0.22335672
2023-04-20 14:00:00,0.43401682
2023-04-20 15:00:00,1.0725806
2023-04-20 16:00:00,1.2635168
2023-04-20 17:00:00,1.0742564
2023-04-20 18:00:00,0.5567115
2023-04-20 19:00:00,-0.15413754
2023-04-20 20:00:00,-0.7992519
2023-04-20 21:00:00,-1.3572341
2023-04-20 22:00:00,-1.6415349
2023-04-20 23:00:00,-1.6215073
2023-04-21 00:00:00,-1.2878588
2023-04-21 01:00:00,-0.37359458
2023-04-21 02:00:00,0.49778435
2023-04-21 03:00:00,1.0830097
2023-04-21 04:00:00,1.3359447
2023-04-21 05:00:00,1.3280681
2023-04-21 06:00:00,0.956249
